author_id,author_name,orcid,works_count,citations_sum,oa_share,multi_institution_share,papers_since_2020,coauthors_count,top_concepts,is_key_researcher
https://openalex.org/A5060735586,Maike Sonnewald,https://orcid.org/0000-0002-5136-9604,1,243,100.0,100.0,1,6,Earth system science (1); Computer science (1); Forcing (mathematics) (1); Artificial neural network (1); Process (computing) (1),False
https://openalex.org/A5060767326,Lidia Dutkiewicz,,1,97,100.0,100.0,1,15,Terminology (1); Taxonomy (biology) (1); Computer science (1); Data science (1); Management science (1),False
https://openalex.org/A5060796410,Belén Carro,https://orcid.org/0000-0001-7051-8479,1,18,0.0,100.0,1,3,Computer science (1); Artificial intelligence (1); Leverage (statistics) (1); Embedding (1); Categorical variable (1),False
https://openalex.org/A5060822647,Vivek Kumar,,1,29,100.0,100.0,1,8,Sociocultural evolution (1); Human intelligence (1); Curriculum (1); Autonomy (1); Artificial intelligence (1),False
https://openalex.org/A5060897112,Suprateek Sarker,https://orcid.org/0000-0002-8079-3121,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5112615779,Vassilios Assimakopoulos,,1,66,0.0,0.0,1,2,Computer science (1); Convolutional neural network (1); Artificial intelligence (1); Deep learning (1); Univariate (1),False
https://openalex.org/A5061071038,Gorkem Kar,https://orcid.org/0000-0003-0367-4409,1,59,100.0,100.0,1,5,Computer science (1); Harm (1); Artificial intelligence (1); Food supply (1); Scalability (1),False
https://openalex.org/A5061206863,Claes H. de Vreese,https://orcid.org/0000-0002-4962-1698,1,799,100.0,0.0,1,3,Perception (1); Sample (material) (1); Public opinion (1); Social media (1); Psychology (1),False
https://openalex.org/A5112521305,Andrew Trask,,1,392,100.0,100.0,1,13,Computer science (1); USable (1); Inference (1); Convolutional neural network (1); Encryption (1),False
https://openalex.org/A5061388105,Ivano Lauriola,https://orcid.org/0000-0001-7236-061X,1,587,0.0,100.0,1,2,Computer science (1); Deep learning (1); Artificial intelligence (1); Natural language processing (1); Focus (optics) (1),False
https://openalex.org/A5061457780,Matthias Bethge,https://orcid.org/0000-0002-6417-7812,1,1493,100.0,100.0,1,6,Artificial intelligence (1); Computer science (1); Deep learning (1); Transferability (1); Benchmarking (1),False
https://openalex.org/A5061476709,Carsten Steger,https://orcid.org/0000-0003-3426-1703,1,391,100.0,0.0,1,4,Anomaly detection (1); Computer science (1); Artificial intelligence (1); Pattern recognition (psychology) (1); Convolutional neural network (1),False
https://openalex.org/A5061544007,Christopher Kadow,https://orcid.org/0000-0001-6537-3690,1,243,100.0,100.0,1,6,Earth system science (1); Computer science (1); Forcing (mathematics) (1); Artificial neural network (1); Process (computing) (1),False
https://openalex.org/A5061560363,Gianluca Viggiano,,1,136,0.0,0.0,1,3,Computer science (1); Machine learning (1); SAFER (1); Benchmark (surveying) (1); Artificial intelligence (1),False
https://openalex.org/A5061593640,Sebastian Porsdam Mann,https://orcid.org/0000-0002-1867-2097,1,79,0.0,100.0,1,13,Blame (1); Generative grammar (1); Quality (philosophy) (1); Asymmetry (1); Generative model (1),False
https://openalex.org/A5061717541,Alexander Richter,https://orcid.org/0000-0002-3699-6466,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5061961859,Henning Müller,https://orcid.org/0000-0001-6800-9878,1,97,100.0,100.0,1,15,Terminology (1); Taxonomy (biology) (1); Computer science (1); Data science (1); Management science (1),False
https://openalex.org/A1960538106,Michel de Mathelin,https://orcid.org/0000-0002-8422-572X,1,322,100.0,100.0,1,4,Reinforcement Learning in Robotics (2); Robot Manipulation and Learning (2); Adaptive Dynamic Programming Control (2),False
https://openalex.org/A5062083281,Antonio Fernández‐Caballero,https://orcid.org/0000-0002-8211-0398,1,282,100.0,100.0,1,40,Artificial intelligence (1); Field (mathematics) (1); Computer science (1); Robotics (1); Applications of artificial intelligence (1),False
https://openalex.org/A5062092154,Yasin Temel,https://orcid.org/0000-0002-3589-5604,1,356,100.0,100.0,1,4,Artificial intelligence (1); Convolutional neural network (1); Electroencephalography (1); Pattern recognition (psychology) (1); Computer science (1),False
https://openalex.org/A5062259910,Cyril Billet,,1,188,0.0,100.0,1,5,Supercontinuum (1); Ultrashort pulse (1); Nonlinear system (1); Photonics (1); Pulse (music) (1),False
https://openalex.org/A5062462649,Aiman Al-Sabaawi,https://orcid.org/0000-0002-0465-8091,1,64,100.0,100.0,1,20,Computer science (1); Trustworthiness (1); Accountability (1); Software deployment (1); Health care (1),False
https://openalex.org/A5062593241,Bo Thiesson,,1,162,100.0,100.0,1,6,Computer science (1); Electronic health record (1); Event (particle physics) (1); Deep learning (1); Sepsis (1),False
https://openalex.org/A5112706410,Jeffrey Gu,,1,35,100.0,100.0,1,4,Artificial intelligence (1); Deep learning (1); Pattern recognition (psychology) (1); Computer science (1); Computer vision (1),False
https://openalex.org/A5062655554,Yuri Tolkach,https://orcid.org/0000-0001-5239-2841,1,182,0.0,100.0,1,3,Digital pathology (1); Deep learning (1); Computer science (1); Grading (engineering) (1); Prostate cancer (1),False
https://openalex.org/A5062753156,Akosua Aya Essuman,https://orcid.org/0000-0003-4305-7317,1,182,100.0,100.0,1,3,Mathematics education (1); Critical thinking (1); Psychology (1); Context (archaeology) (1); Scale (ratio) (1),False
https://openalex.org/A5062826520,Zaid Abdi Alkareem Alyasseri,https://orcid.org/0000-0003-4228-9298,1,160,100.0,100.0,1,11,Artificial intelligence (1); Computer science (1); Coronavirus disease 2019 (COVID-19) (1); Machine learning (1); Deep learning (1),False
https://openalex.org/A5062953822,Etienne Mueller,https://orcid.org/0000-0002-0559-0850,1,194,100.0,0.0,1,3,Encoding (memory) (1); Computer science (1); Spiking neural network (1); ENCODE (1); Artificial neural network (1),False
https://openalex.org/A5063041454,Nikolaj Møller,https://orcid.org/0000-0001-6363-9424,1,79,0.0,100.0,1,13,Blame (1); Generative grammar (1); Quality (philosophy) (1); Asymmetry (1); Generative model (1),False
https://openalex.org/A5063270174,Claudia Nerdel,https://orcid.org/0000-0003-1170-8875,1,158,100.0,0.0,1,2,Test (biology) (1); Literacy (1); Mathematics education (1); Applications of artificial intelligence (1); Variance (accounting) (1),False
https://openalex.org/A5063413613,Adam Wyner,https://orcid.org/0000-0002-2958-3428,1,44,100.0,100.0,1,6,Artificial intelligence (1); Variety (cybernetics) (1); Legal aspects of computing (1); Philosophy of law (1); Computer science (1),False
https://openalex.org/A5063478872,Luca Massari,https://orcid.org/0000-0002-1104-0097,1,151,100.0,100.0,1,11,Computer science (1); Artificial intelligence (1); Convolutional neural network (1); Materials science (1); Soft robotics (1),False
https://openalex.org/A5063781430,Alois Knoll,https://orcid.org/0000-0003-4840-076X,1,194,100.0,0.0,1,3,Encoding (memory) (1); Computer science (1); Spiking neural network (1); ENCODE (1); Artificial neural network (1),False
https://openalex.org/A5063893007,Maximilian Zenk,https://orcid.org/0000-0002-8933-5995,1,93,100.0,100.0,1,73,Benchmarking (1); Software deployment (1); Computer science (1); Process (computing) (1); Health care (1),False
https://openalex.org/A5063956725,Alessandro Foi,https://orcid.org/0000-0001-8228-3187,1,188,0.0,100.0,1,5,Supercontinuum (1); Ultrashort pulse (1); Nonlinear system (1); Photonics (1); Pulse (music) (1),False
https://openalex.org/A5063961921,Mazen Ahmad,https://orcid.org/0000-0003-4010-7227,1,159,0.0,100.0,1,3,Computer science (1); Artificial intelligence (1); Deep learning (1); Machine learning (1); Key (lock) (1),False
https://openalex.org/A5064001236,Sarya Swed,https://orcid.org/0000-0002-9983-2020,1,128,100.0,100.0,1,16,Medical education (1); Cross-sectional study (1); Field (mathematics) (1); Positive attitude (1); Perception (1),False
https://openalex.org/A5064123474,Felix Theiß,,1,135,100.0,0.0,1,4,Reinforcement learning (1); Computer science (1); Production (economics) (1); Heuristics (1); Job shop (1),False
https://openalex.org/A5112757740,T. Gopi,,1,231,100.0,100.0,1,6,Manufacturing engineering (1); Production (economics) (1); Quality (philosophy) (1); Product (mathematics) (1); Control (management) (1),False
https://openalex.org/A5064140827,Konstantinos Demertzis,https://orcid.org/0000-0003-1330-5228,1,114,0.0,100.0,1,3,Computer science (1); Autoencoder (1); Computer security (1); Transparency (behavior) (1); Confidentiality (1),False
https://openalex.org/A5064147145,Lucas Liebenwein,https://orcid.org/0000-0002-3229-6665,1,113,100.0,100.0,1,7,Artificial neural network (1); Computer science (1); Business (1); Artificial intelligence (1); Neural Networks and Applications (1),False
https://openalex.org/A5064346361,Georg von Krogh,https://orcid.org/0000-0002-1203-3569,1,89,0.0,100.0,1,3,Unpacking (1); Delegation (1); Business intelligence (1); Knowledge management (1); Business (1),False
https://openalex.org/A5064369563,Andrés Bustillo,https://orcid.org/0000-0003-2855-7532,1,294,0.0,100.0,1,5,Machining (1); Artificial neural network (1); Tool wear (1); Artificial intelligence (1); Machine tool (1),False
https://openalex.org/A5064388220,Corina Raduescu,https://orcid.org/0000-0002-6281-9842,1,39,100.0,100.0,1,7,Generative grammar (1); Creativity (1); Sustainability (1); Generative model (1); Mathematics education (1),False
https://openalex.org/A5064628855,Mohammadreza Koopialipoor,https://orcid.org/0000-0001-7518-3241,1,229,0.0,100.0,1,4,Compressive strength (1); Mortar (1); Computational Science and Engineering (1); Composite material (1); Computer science (1),False
https://openalex.org/A5064688726,Giuseppina Andresini,https://orcid.org/0000-0002-5272-644X,1,105,100.0,100.0,1,2,Computer science (1); Convolutional neural network (1); Artificial intelligence (1); Deep learning (1); Benchmark (surveying) (1),False
https://openalex.org/A5064821404,Michael Fauser,https://orcid.org/0000-0003-0162-3392,1,391,100.0,0.0,1,4,Anomaly detection (1); Computer science (1); Artificial intelligence (1); Pattern recognition (psychology) (1); Convolutional neural network (1),False
https://openalex.org/A5064823702,Graziella Orrù,https://orcid.org/0000-0002-8769-7693,1,131,100.0,0.0,1,3,Set (abstract data type) (1); Computer science (1); Sample (material) (1); Artificial intelligence (1); Transfer of learning (1),False
https://openalex.org/A5064829377,Akshay Chaudhari,https://orcid.org/0000-0002-3667-6796,1,93,100.0,100.0,1,73,Benchmarking (1); Software deployment (1); Computer science (1); Process (computing) (1); Health care (1),False
https://openalex.org/A5064881047,Vishal S. Sharma,https://orcid.org/0000-0002-6200-7422,1,294,0.0,100.0,1,5,Machining (1); Artificial neural network (1); Tool wear (1); Artificial intelligence (1); Machine tool (1),False
https://openalex.org/A5112818613,Mei‐Chih Hu,,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
