Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
73;5800228211;"European Physical Education Review";journal;"1356336X, 17412749";"SAGE Publications Ltd";No;No;1,306;Q1;59;65;147;3687;794;147;4,66;56,72;37,83;0;26;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
74;144953;"Journal of Educational Change";journal;"13892843";"Springer Netherlands";No;No;1,306;Q1;53;39;90;2608;487;87;4,60;66,87;68,93;2;18;Netherlands;Western Europe;"Springer Netherlands";"2005-2025";"Education (Q1)";"Social Sciences"
75;18300156704;"Higher Education Research and Development";journal;"14698366, 07294360";"Taylor and Francis Ltd.";No;No;1,304;Q1;99;153;396;6847;2024;392;4,93;44,75;65,58;1;66;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-1995, 1997, 1999-2025";"Education (Q1)";"Social Sciences"
76;145597;"ELT Journal";journal;"14774526, 09510893";"Oxford University Press";No;No;1,302;Q1;80;41;178;533;661;159;3,35;13,00;56,90;0;13;United Kingdom;Western Europe;"Oxford University Press";"1946-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Linguistics and Language (Q1)";"Psychology; Social Sciences"
77;28874;"European Journal of Psychology of Education";journal;"18785174, 02562928";"Springer Netherlands";No;No;1,298;Q1;72;207;204;14046;969;202;4,55;67,86;60,74;4;76;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
78;13344;"Social Psychology of Education";journal;"15731928, 13812890";"Springer Netherlands";No;No;1,297;Q1;70;139;203;10308;937;203;4,29;74,16;61,67;5;52;Netherlands;Western Europe;"Springer Netherlands";"1996-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
79;23237;"Studies in Educational Evaluation";journal;"0191491X";"Elsevier Ltd";No;No;1,291;Q1;63;90;277;5757;1454;275;4,13;63,97;47,10;0;26;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2025";"Education (Q1)";"Social Sciences"
80;19692;"Economics of Education Review";journal;"02727757";"Elsevier Ltd";No;No;1,270;Q1;109;67;266;3421;749;266;2,33;51,06;41,90;11;39;United Kingdom;Western Europe;"Elsevier Ltd";"1981-1982, 1984-2025";"Economics and Econometrics (Q1); Education (Q1)";"Economics, Econometrics and Finance; Social Sciences"
81;145735;"Language Learning Journal";journal;"09571736";"Taylor and Francis Ltd.";No;No;1,267;Q1;43;78;155;4058;602;151;3,18;52,03;57,75;1;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
82;18357;"Medical Teacher";journal;"0142159X, 1466187X";"Taylor and Francis Ltd.";No;No;1,254;Q1;146;465;876;13309;2677;571;3,08;28,62;54,19;0;103;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2025";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
