Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
44;21101170600;"Psychoradiology";journal;"26344416";"Oxford University Press";Yes;Yes;1,093;Q2;8;31;33;2402;102;32;3,09;77,48;50,27;0;3;United Kingdom;Western Europe;"Oxford University Press";"2021-2024";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Psychology (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Artificial Intelligence (Q2); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)";"Computer Science; Medicine; Neuroscience; Psychology"
45;21101054787;"Quantum Machine Intelligence";journal;"25244914, 25244906";"Springer Science and Business Media Deutschland GmbH";No;No;1,025;Q2;23;46;73;2701;425;73;5,35;58,72;14,74;1;4;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2019-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2); Software (Q2)";"Computer Science; Mathematics"
46;26529;"Fuzzy Sets and Systems";journal;"01650114";"Elsevier B.V.";No;No;1,009;Q2;191;320;734;11833;2550;725;3,34;36,98;28,48;0;5;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Logic (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
47;21101109601;"Machine Learning and Knowledge Extraction";journal;"25044990";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,977;Q2;36;94;142;5409;803;141;6,14;57,54;22,11;4;22;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2024";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering"
48;23616;"AI and Society";journal;"09515666, 14355655";"Springer London";No;No;0,976;Q2;55;252;335;13157;1803;303;4,82;52,21;32,90;24;64;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2025";"Philosophy (Q1); Artificial Intelligence (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science"
49;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"15730409, 09210296";"Springer Nature";No;No;0,960;Q2;105;237;747;10536;3111;709;3,86;44,46;19,42;0;41;Netherlands;Western Europe;"Springer Nature";"1988-2025";"Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
50;21101051831;"Intelligent Systems with Applications";journal;"26673053";"Elsevier B.V.";Yes;No;0,959;Q2;28;139;113;7413;757;113;5,88;53,33;23,41;0;40;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Artificial Intelligence (Q2); Signal Processing (Q2)";"Computer Science"
51;12886;"Cognitive Systems Research";journal;"13890417, 22144366";"Elsevier B.V.";No;No;0,957;Q2;73;68;175;4029;831;172;3,17;59,25;32,19;2;3;Netherlands;Western Europe;"Elsevier B.V.";"1999-2025";"Artificial Intelligence (Q2); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2); Software (Q2)";"Computer Science; Neuroscience; Psychology"
52;28424;"Theory and Practice of Logic Programming";journal;"14753081, 14710684";"Cambridge University Press";No;No;0,950;Q2;52;45;126;1998;272;118;2,04;44,40;18,81;0;1;United Kingdom;Western Europe;"Cambridge University Press";"2001-2025";"Computational Theory and Mathematics (Q1); Artificial Intelligence (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
53;21101049065;"International Journal of Interactive Multimedia and Artificial Intelligence";journal;"19891660";"Universidad Internacional de la Rioja";Yes;Yes;0,904;Q2;27;64;194;2654;693;180;3,25;41,47;16,27;1;19;Spain;Western Europe;"Universidad Internacional de la Rioja";"2019-2024";"Statistics and Probability (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2)";"Computer Science; Mathematics"
